meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID42423_OID31223	OID42423_OID31223	OID42423	P07992	ERCC1	OID31223	P07992	ERCC1
OID42538_OID31224	OID42538_OID31224	OID42538	Q12849	GRSF1	OID31224	Q12849	GRSF1
OID43156_OID31225	OID43156_OID31225	OID43156	Q9UI15	TAGLN3	OID31225	Q9UI15	TAGLN3
OID42896_OID31226	OID42896_OID31226	OID42896	Q6P996	PDXDC1	OID31226	Q6P996	PDXDC1
OID42430_OID31227	OID42430_OID31227	OID42430	P34910	EVI2B	OID31227	P34910	EVI2B
OID42877_OID31228	OID42877_OID31228	OID42877	Q9ULR5	PAIP2B	OID31228	Q9ULR5	PAIP2B
OID42619_OID31229	OID42619_OID31229	OID42619	P08700	IL3	OID31229	P08700	IL3
OID42157_OID31230	OID42157_OID31230	OID42157	Q9UN42	ATP1B4	OID31230	Q9UN42	ATP1B4
OID42355_OID31231	OID42355_OID31231	OID42355	Q6PH85	DCUN1D2	OID31231	Q6PH85	DCUN1D2
OID42549_OID31232	OID42549_OID31232	OID42549	O75409	H2AP	OID31232	O75409	H2AP
OID43214_OID31233	OID43214_OID31233	OID43214	Q969P6	TOP1MT	OID31233	Q969P6	TOP1MT
OID43227_OID31234	OID43227_OID31234	OID43227	Q9Y3C4	TPRKB	OID31234	Q9Y3C4	TPRKB
OID42350_OID31235	OID42350_OID31235	OID42350	A8MYV0	DCDC2C	OID31235	A8MYV0	DCDC2C
OID42997_OID31236	OID42997_OID31236	OID42997	P49756	RBM25	OID31236	P49756	RBM25
OID42198_OID31237	OID42198_OID31237	OID42198	Q7Z6A9	BTLA	OID31237	Q7Z6A9	BTLA
OID43184_OID31238	OID43184_OID31238	OID43184	O43422	THAP12	OID31238	O43422	THAP12
OID42775_OID31239	OID42775_OID31239	OID42775	Q86TS9	MRPL52	OID31239	Q86TS9	MRPL52
OID42351_OID31240	OID42351_OID31240	OID42351	Q96SD1	DCLRE1C	OID31240	Q96SD1	DCLRE1C
OID42460_OID31241	OID42460_OID31241	OID42460	P21781	FGF7	OID31241	P21781	FGF7
OID42246_OID31242	OID42246_OID31242	OID42246	O75794	CDC123	OID31242	O75794	CDC123
OID42617_OID31243	OID42617_OID31243	OID42617	Q9H293	IL25	OID31243	Q9H293	IL25
OID42730_OID31244	OID42730_OID31244	OID42730	Q5VSG8	MANEAL	OID31244	Q5VSG8	MANEAL
OID42656_OID31245	OID42656_OID31245	OID42656	Q587J8	KHDC3L	OID31245	Q587J8	KHDC3L
OID43202_OID31246	OID43202_OID31246	OID43202	Q9NZQ9	TMOD4	OID31246	Q9NZQ9	TMOD4
OID42278_OID31247	OID42278_OID31247	OID42278	Q5VT06	CEP350	OID31247	Q5VT06	CEP350
OID43006_OID31248	OID43006_OID31248	OID43006	Q13127	REST	OID31248	Q13127	REST
OID42273_OID31249	OID42273_OID31249	OID42273	O94986	CEP152	OID31249	O94986	CEP152
OID42824_OID31250	OID42824_OID31250	OID42824	Q8TDX7	NEK7	OID31250	Q8TDX7	NEK7
OID42257_OID31251	OID42257_OID31251	OID42257	A8MTB9	CEACAM18	OID31251	A8MTB9	CEACAM18
OID42421_OID31252	OID42421_OID31252	OID42421	Q9Y6I3	EPN1	OID31252	Q9Y6I3	EPN1
OID42983_OID31254	OID42983_OID31254	OID42983	Q06609	RAD51	OID31254	Q06609	RAD51
OID42313_OID31255	OID42313_OID31255	OID42313	Q14055	COL9A2	OID31255	Q14055	COL9A2
OID42245_OID31256	OID42245_OID31256	OID42245	P27701	CD82	OID31256	P27701	CD82
OID42768_OID31257	OID42768_OID31257	OID42768	Q9UBU8	MORF4L1	OID31257	Q9UBU8	MORF4L1
OID42829_OID31258	OID42829_OID31258	OID42829	Q00653	NFKB2	OID31258	Q00653	NFKB2
OID42191_OID31259	OID42191_OID31259	OID42191	O95696	BRD1	OID31259	O95696	BRD1
OID42131_OID31260	OID42131_OID31260	OID42131	P10398	ARAF	OID31260	P10398	ARAF
OID42491_OID31261	OID42491_OID31261	OID42491	O75293	GADD45B	OID31261	O75293	GADD45B
OID43256_OID31262	OID43256_OID31262	OID43256	P42681	TXK	OID31262	P42681	TXK
OID42573_OID31263	OID42573_OID31263	OID42573	P01112	HRAS	OID31263	P01112	HRAS
OID42544_OID31264	OID42544_OID31264	OID42544	Q9UHL9	GTF2IRD1	OID31264	Q9UHL9	GTF2IRD1
OID42207_OID31265	OID42207_OID31265	OID42207	P43166	CA7	OID31265	P43166	CA7
OID43177_OID31266	OID43177_OID31266	OID43177	Q6N021	TET2	OID31266	Q6N021	TET2
OID43167_OID31267	OID43167_OID31267	OID43167	Q8WWU5	TCP11	OID31267	Q8WWU5	TCP11
OID42865_OID31268	OID42865_OID31268	OID42865	O75665	OFD1	OID31268	O75665	OFD1
OID42712_OID31269	OID42712_OID31269	OID42712	O95777	LSM8	OID31269	O95777	LSM8
OID42957_OID31270	OID42957_OID31270	OID42957	Q8WUY3	PRUNE2	OID31270	Q8WUY3	PRUNE2
OID43237_OID31271	OID43237_OID31271	OID43237	O15164	TRIM24	OID31271	O15164	TRIM24
OID43280_OID31272	OID43280_OID31272	OID43280	A6NLU5	VSTM2B	OID31272	A6NLU5	VSTM2B
OID43278_OID31273	OID43278_OID31273	OID43278	Q9UK41	VPS28	OID31273	Q9UK41	VPS28
OID43224_OID31274	OID43224_OID31274	OID43224	P59282	TPPP2	OID31274	P59282	TPPP2
