phenotype	condition	pval	beta	std	pval_fdr
LIPID82	CONDITION1	0.2308443084997171	-0.0647451197982036	0.0536820792796824	0.9975111486145372
LIPID83	CONDITION1	0.8365959312136866	-0.0126822217633615	0.0613175603178567	0.9975111486145372
LIPID84	CONDITION1	0.5714051490716897	0.0354722915753395	0.0624514383745518	0.9975111486145372
LIPID85	CONDITION1	0.9133882501493172	-0.005980243320512	0.0548334012502734	0.9975111486145372
LIPID86	CONDITION1	0.7837968315912037	0.0156161882071261	0.0567512657955484	0.9975111486145372
LIPID87	CONDITION1	0.4586472536162338	0.0462389778413523	0.0621346109391505	0.9975111486145372
LIPID88	CONDITION1	0.8705008673963364	-0.0104713771294311	0.0640557545278226	0.9975111486145372
LIPID89	CONDITION1	0.6011825783978542	-0.0306209592747972	0.0583818468982124	0.9975111486145372
LIPID90	CONDITION1	0.4558081749365593	-0.0449539469599278	0.0600267302565797	0.9975111486145372
LIPID91	CONDITION1	0.3938306657199523	0.0514262215326321	0.0600305447619846	0.9975111486145372
LIPID92	CONDITION1	0.5164442271684339	0.0366576024593444	0.056281756360483	0.9975111486145372
LIPID93	CONDITION1	0.8361415745262235	0.0115635791037855	0.0557517253249374	0.9975111486145372
LIPID94	CONDITION1	0.5896213554036023	-0.0341024204854796	0.0630054015732322	0.9975111486145372
LIPID95	CONDITION1	0.3561819161497717	0.0544391927739446	0.0587085292417726	0.9975111486145372
LIPID96	CONDITION1	0.5032575836844306	0.0388287843351564	0.0577819949501444	0.9975111486145372
LIPID97	CONDITION1	0.2928700145119371	-0.0680825239824092	0.0643601639773631	0.9975111486145372
LIPID98	CONDITION1	0.6334937260834419	0.0264707191628981	0.0553326601988823	0.9975111486145372
LIPID99	CONDITION1	0.0576479584028494	-0.1151421208348038	0.0599028057856453	0.7205994800356175
LIPID100	CONDITION1	0.0575313687590302	-0.1127289051941382	0.0586194197435128	0.7205994800356175
